Longitude,Latitude,UHI Index
-77.3027,39.109905,0.99357124
-77.30269,39.109855,0.99467398
-77.30267667,39.10996,0.99357124
-77.302655,39.10980833,0.99467398
-77.30263,39.11001667,0.99357124
-77.302595,39.10976667,0.99357124
-77.302575,39.11008167,0.99357124
-77.30251833,39.10971833,0.99357124
-77.30251167,39.11015333,0.99136575
-77.30244167,39.11023167,0.99136575
-77.30243167,39.10966333,0.98916026
-77.30236333,39.11031333,0.98695478
-77.30228,39.11039833,0.98695478
-77.30222167,39.10953667,0.98916026
-77.30219667,39.11048667,0.98364655
-77.30210833,39.11058167,0.98364655
-77.302105,39.10947167,0.98916026
-77.30201333,39.11068167,0.99357124
-77.30192167,39.110785,0.99357124
-77.30183833,39.10932167,0.99136575
-77.301835,39.11089333,0.99357124
-77.30175167,39.111005,0.99357124
-77.30167,39.11112167,0.98916026
-77.30159333,39.11124,0.98916026
-77.301555,39.10917333,0.98695478
-77.30145,39.11148333,0.99136575
-77.30141,39.10909667,0.98695478
-77.30138,39.11160667,0.98695478
-77.30131,39.11172833,0.98695478
-77.30124167,39.11184667,0.98695478
-77.30111833,39.108935,0.98695478
-77.30111333,39.11208667,0.99357124
-77.30104833,39.1122,0.99357124
-77.30098,39.11231333,0.99136575
-77.300975,39.10885167,0.98916026
-77.30091333,39.11242833,0.99136575
-77.30083333,39.10876667,0.98916026
-77.30078167,39.11266833,0.99357124
-77.30071833,39.11278833,0.99136575
-77.30069667,39.10868,0.99136575
-77.30065333,39.11290333,0.99136575
-77.30051833,39.113135,0.98474929
-77.30045333,39.11325,0.98474929
-77.30042167,39.10851333,1.00129044
-77.30031333,39.113475,0.97482461
-77.30024667,39.11359,0.97923558
-77.30018,39.11370667,0.97923558
-77.300145,39.10835333,0.98916026
-77.30011667,39.11382833,0.97151638
-77.30005167,39.11394833,0.97151638
-77.30000667,39.10827333,0.98916026
-77.29998667,39.11406667,0.9693109
-77.29992,39.11418333,0.9693109
-77.29987,39.108195,0.99357124
-77.29985,39.11429833,0.9770301
-77.29977833,39.11441333,0.9770301
-77.29973167,39.10811667,0.99357124
-77.29970667,39.11453,0.9770301
-77.29963667,39.11464667,0.9770301
-77.29959167,39.10803833,0.98916026
-77.29956667,39.11476,0.9770301
-77.29949667,39.114875,0.9770301
-77.29945333,39.10795833,0.98916026
-77.29943167,39.11499167,0.97482461
-77.299365,39.11510833,0.97482461
-77.29923333,39.11534167,0.97923558
-77.29918,39.10780333,0.98695478
-77.29916667,39.11546,0.9770301
-77.29909667,39.11557333,0.9770301
-77.299045,39.10772333,0.98364655
-77.299025,39.11568667,0.97923558
-77.29895667,39.11580667,0.97923558
-77.298915,39.10764,0.98364655
-77.29889333,39.115925,0.97482461
-77.29878167,39.10756,0.98695478
-77.29876833,39.11615333,0.97923558
-77.298705,39.11626667,0.97923558
-77.29864667,39.10748,0.98695478
-77.29864333,39.11638,0.9770301
-77.298515,39.10740167,0.98916026
-77.29843833,39.11673,0.9770301
-77.29839333,39.16753833,1.00459866
-77.29839,39.16765,1.00459866
